fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused3,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused4,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused5,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio
02013,US,AK,Aleutians East Borough,county,,iso1:us#iso2:us-ak#fips:02013,,3337,0.5,other,33.4,,0.49,0.94,,,,3,3,3,4,0,,4,1027,3,,,,,,,,,,,,0,,2813,2484,2022-03-02,https://covidactnow.org/us/alaska-ak/county/aleutians_east_borough,0.843,0.744,0,,3,793,0.238
02016,US,AK,Aleutians West Census Area,county,,iso1:us#iso2:us-ak#fips:02016,,5634,0.034,other,7.2,,0.49,1.15,,,,1,1,1,4,0,,4,1670,1,,,,,,,,,,,,0,,4113,3509,2022-03-02,https://covidactnow.org/us/alaska-ak/county/aleutians_west_census_area,0.73,0.623,0,,2,1052,0.187
02020,US,AK,Anchorage Municipality,county,,iso1:us#iso2:us-ak#fips:02020,,288000,0.053,other,34.3,,0.62,0.1,,,0.95,3,1,3,4,0,,3,99927,489,,,,715,613,45,,69,66,5,,210,,214814,190716,2022-03-02,https://covidactnow.org/us/alaska-ak/county/anchorage_municipality,0.746,0.662,0,,3,77743,0.27
02050,US,AK,Bethel Census Area,county,,iso1:us#iso2:us-ak#fips:02050,,18386,0.051,other,45.5,,0.55,0.44,,,,3,1,3,4,0,,4,8866,40,,,,,,,,,,,,0,,13114,12067,2022-03-02,https://covidactnow.org/us/alaska-ak/county/bethel_census_area,0.713,0.656,0,,3,5164,0.281
02060,US,AK,Bristol Bay Borough,county,,iso1:us#iso2:us-ak#fips:02060,,836,,other,0.0,,1.0,1.17,,,,0,4,0,4,1,,4,608,2,,,,,,,,,,,,0,,,,2022-03-02,https://covidactnow.org/us/alaska-ak/county/bristol_bay_borough,,,0,,0,,
02068,US,AK,Denali Borough,county,,iso1:us#iso2:us-ak#fips:02068,,2097,,other,13.6,,,,,,,2,4,2,4,4,,4,377,1,,,,,,,,,,,,0,,1305,1123,2022-03-02,https://covidactnow.org/us/alaska-ak/county/denali_borough,0.622,0.536,0,,2,528,0.252
02070,US,AK,Dillingham Census Area,county,,iso1:us#iso2:us-ak#fips:02070,,4916,0.167,other,48.2,,0.51,0.68,,,,3,2,3,4,0,,4,1543,11,,,,,,,,,,,,0,,2800,2549,2022-03-02,https://covidactnow.org/us/alaska-ak/county/dillingham_census_area,0.57,0.519,0,,3,1082,0.22
02090,US,AK,Fairbanks North Star Borough,county,,iso1:us#iso2:us-ak#fips:02090,,96849,0.045,other,25.7,,0.54,0.24,,,0.54,3,1,3,4,0,,0,26737,129,,,,101,68,3,,13,7,0,,0,,65158,57230,2022-03-02,https://covidactnow.org/us/alaska-ak/county/fairbanks_north_star_borough,0.673,0.591,0,,3,18807,0.194
02100,US,AK,Haines Borough,county,,iso1:us#iso2:us-ak#fips:02100,,2530,0.417,other,210.1,,0.79,0.65,,,,5,3,5,4,0,,4,575,1,,,,,,,,,,,,0,,1842,1708,2022-03-02,https://covidactnow.org/us/alaska-ak/county/haines_borough,0.728,0.675,0,,3,915,0.362
02105,US,AK,Hoonah-Angoon Census Area,county,,iso1:us#iso2:us-ak#fips:02105,,2148,0.161,other,0.0,,,,,,,0,2,0,4,4,,4,0,0,,,,,,,,,,,,0,,1576,1488,2022-03-02,https://covidactnow.org/us/alaska-ak/county/hoonah_angoon_census_area,0.734,0.693,0,,3,887,0.413
